day,files_modified,hunks,lines_added,lines_removed,lines_modified,commits
2005-04-07,8,8,40,0,40,2
2005-04-08,18,37,216,30,246,8
2005-04-09,27,77,525,209,734,14
2005-04-10,13,71,208,85,293,4
2005-04-11,24,95,768,140,908,15
2005-04-12,17,63,471,45,516,13
2005-04-13,37,105,320,161,481,15
2005-04-14,6,15,243,179,422,3
2005-04-15,14,73,326,93,419,7
2005-04-16,18,68,223,205,428,13
2005-04-17,43,94,313,170,483,22
2005-04-18,56,216,1856,772,2628,29
2005-04-19,14,37,177,20,197,13
2005-04-20,21,72,537,116,653,13
2005-04-21,29,91,328,253,581,15
2005-04-22,4,10,67,62,129,2
2005-04-23,10,53,513,177,690,5
2005-04-24,38,95,773,95,868,21
2005-04-25,15,49,218,100,318,8
2005-04-26,33,92,743,376,1119,7
2005-04-27,18,103,267,137,404,17
2005-04-28,26,110,728,222,950,14
2005-04-29,17,50,380,377,757,8
2005-04-30,39,120,912,676,1588,20
2005-05-01,25,67,298,108,406,8
2005-05-02,30,95,433,173,606,19
2005-05-03,12,47,159,169,328,5
2005-05-04,16,76,218,67,285,8
2005-05-05,42,166,659,206,865,21
2005-05-06,47,406,1922,517,2439,23
2005-05-07,23,52,171,57,228,14
2005-05-08,17,344,1101,567,1668,11
2005-05-09,1,1,3,0,3,2
2005-05-10,74,163,2140,1439,3579,12
2005-05-11,79,207,2609,1114,3723,17
2005-05-12,2,16,91,6,97,2
2005-05-13,6,24,97,23,120,4
2005-05-14,35,52,1417,305,1722,14
2005-05-15,31,117,630,305,935,13
2005-05-16,1,15,62,10,72,1
2005-05-17,4,43,139,73,212,3
2005-05-18,33,130,418,160,578,18
2005-05-19,56,203,1244,353,1597,14
2005-05-20,61,177,1117,328,1445,13
2005-05-21,47,208,1220,508,1728,12
2005-05-22,69,369,1109,912,2021,16
2005-05-23,33,191,1290,545,1835,12
2005-05-24,28,146,769,392,1161,14
2005-05-25,23,82,333,93,426,15
2005-05-26,28,184,831,239,1070,16
2005-05-27,4,7,12,16,28,4
2005-05-29,56,185,577,328,905,19
2005-05-30,34,77,751,97,848,8
2005-05-31,31,132,615,348,963,13
2005-06-01,21,67,588,148,736,11
2005-06-02,21,46,348,98,446,8
2005-06-03,31,101,519,158,677,11
2005-06-04,1,11,21,22,43,1
2005-06-05,50,139,1169,353,1522,21
2005-06-06,29,138,1163,402,1565,15
2005-06-07,37,84,1463,91,1554,18
2005-06-08,39,174,860,308,1168,19
2005-06-09,7,34,189,61,250,5
2005-06-10,2,14,45,10,55,2
2005-06-12,1,1,1,1,2,1
2005-06-13,41,153,951,167,1118,25
2005-06-14,5,11,44,10,54,5
2005-06-15,8,10,25,9,34,3
2005-06-16,2,82,299,187,486,2
2005-06-17,6,35,166,35,201,5
2005-06-18,3,9,100,1,101,3
2005-06-19,8,32,112,90,202,7
2005-06-20,33,130,724,224,948,16
2005-06-21,24,84,240,91,331,16
2005-06-22,32,105,4110,96,4206,15
2005-06-23,15,41,168,90,258,11
2005-06-24,1,15,70,24,94,1
2005-06-25,26,168,1149,143,1292,18
2005-06-26,24,119,524,148,672,13
2005-06-27,53,160,865,1021,1886,14
2005-06-28,42,286,1653,677,2330,28
2005-06-29,39,171,641,424,1065,16
2005-06-30,35,115,958,250,1208,25
2005-07-01,13,47,280,103,383,3
2005-07-03,43,125,378,200,578,23
2005-07-04,26,86,662,166,828,17
2005-07-05,31,104,1846,793,2639,14
2005-07-06,39,75,617,155,772,25
2005-07-07,20,34,644,136,780,10
2005-07-08,36,76,394,152,546,14
2005-07-09,23,61,378,123,501,10
2005-07-10,10,27,88,41,129,7
2005-07-11,9,26,43,18,61,6
2005-07-12,18,34,222,117,339,11
2005-07-13,18,29,116,139,255,3
2005-07-14,48,111,835,141,976,26
2005-07-15,37,100,586,144,730,18
2005-07-16,41,132,1684,989,2673,15
2005-07-17,3,63,170,93,263,3
2005-07-18,3,77,431,75,506,3
2005-07-19,2,10,29,10,39,2
2005-07-20,2,32,151,57,208,2
2005-07-22,7,43,170,22,192,5
2005-07-23,32,90,268,150,418,21
2005-07-24,29,42,1324,135,1459,10
2005-07-25,2,12,32,10,42,2
2005-07-26,25,78,288,84,372,5
2005-07-27,15,22,126,23,149,9
2005-07-28,14,59,598,87,685,11
2005-07-29,9,89,740,122,862,9
2005-07-30,44,114,402,197,599,16
2005-07-31,15,46,364,56,420,9
2005-08-01,23,75,482,240,722,12
2005-08-03,40,131,795,155,950,23
2005-08-04,14,69,325,190,515,8
2005-08-05,15,70,401,263,664,9
2005-08-06,37,112,362,118,480,12
2005-08-07,94,1837,5245,3348,8593,90
2005-08-08,5,56,183,91,274,5
2005-08-09,24,59,120,42,162,14
2005-08-10,76,276,1138,302,1440,26
2005-08-11,2,2,4,1,5,1
2005-08-12,73,234,596,275,871,25
2005-08-13,16,62,169,121,290,2
2005-08-14,21,40,370,52,422,8
2005-08-15,70,177,1591,216,1807,14
2005-08-16,19,90,293,90,383,10
2005-08-17,83,310,1573,389,1962,32
2005-08-18,21,252,1394,580,1974,15
2005-08-19,26,139,653,210,863,15
2005-08-20,17,56,239,98,337,6
2005-08-21,9,68,312,87,399,5
2005-08-22,1,13,64,32,96,1
2005-08-23,97,295,3136,512,3648,12
2005-08-24,94,328,1662,682,2344,25
2005-08-25,15,20,92,11,103,10
2005-08-26,17,33,158,33,191,8
2005-08-27,57,218,793,306,1099,9
2005-08-28,12,27,306,38,344,9
2005-08-29,75,203,1356,418,1774,11
2005-08-30,89,802,3553,1124,4677,27
2005-08-31,10,388,1247,557,1804,8
2005-09-01,11,23,215,67,282,5
2005-09-02,17,54,242,73,315,6
2005-09-03,9,22,163,45,208,4
2005-09-04,27,71,473,62,535,10
2005-09-05,15,54,214,180,394,5
2005-09-06,19,37,100,48,148,7
2005-09-07,23,68,1243,1112,2355,9
2005-09-08,268,722,9640,9421,19061,7
2005-09-09,27,85,186,349,535,9
2005-09-10,7,29,255,11,266,6
2005-09-11,44,185,1731,866,2597,20
2005-09-12,21,76,169,89,258,11
2005-09-13,38,132,750,512,1262,19
2005-09-14,19,42,458,406,864,6
2005-09-15,36,95,267,582,849,13
2005-09-16,14,30,59,31,90,11
2005-09-17,13,46,208,47,255,9
2005-09-18,60,225,759,738,1497,11
2005-09-19,2,3,27,0,27,1
2005-09-20,125,279,1475,397,1872,17
2005-09-21,28,92,625,196,821,22
2005-09-22,24,34,27,662,689,5
2005-09-23,33,100,309,106,415,24
2005-09-24,31,100,208,142,350,16
2005-09-25,34,160,464,397,861,13
2005-09-26,2,6,22,5,27,2
2005-09-27,39,119,313,112,425,21
2005-09-28,28,91,265,90,355,13
2005-09-29,27,121,316,162,478,10
2005-09-30,17,45,78,76,154,11
2005-10-01,7,9,16,5,21,3
2005-10-02,53,205,1165,398,1563,24
