id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...534d7da8b6e1919373c538d40488ba52b0ebc3d9,78,44,0.564102564103,46,0.589743589744,468,0,468,6.0,509,41,550,7.05128205128,44,0.564102564103,96,1.23076923077,50,1,2010-11-08 20:21:45,2010-11-09 19:45:19,23.3927777778,2010-11-08 20:21:45,2010-11-09 17:57:37,21.5977777778
534d7da8b6e1919373c538d40488ba52b0ebc3d9...42d3cf083f96adffa4de17ae9fc0c1643d93fe94,1,1,1.0,1,1.0,1,5,6,6.0,1,5,6,6.0,3,3.0,3,3.0,1,1,2010-11-10 02:04:22,2010-11-10 02:04:22,0.0,2010-11-10 02:02:32,2010-11-10 02:02:32,0.0
534d7da8b6e1919373c538d40488ba52b0ebc3d9...66555ace19650ea32e5a8d9dcc0f6908a1267d72,4,4,1.0,4,1.0,22,2,24,6.0,23,3,26,6.5,6,1.5,8,2.0,1,1,2010-11-09 22:23:58,2010-11-10 08:09:10,9.75333333333,2010-11-09 22:23:58,2010-11-10 08:09:10,9.75333333333
b85d5579350143059f1a930c3ca4d626ba8be0fc...acbcdb02e5e608cfd1c9a93eba67c6a73d632870,3,3,1.0,3,1.0,6,8,14,4.66666666667,6,8,14,4.66666666667,3,1.0,3,1.0,2,1,2010-11-10 08:50:58,2010-11-10 08:51:10,0.00333333333333,2010-11-09 22:53:35,2010-11-09 23:24:47,0.52
acbcdb02e5e608cfd1c9a93eba67c6a73d632870...fa46e7bcbb735fab853bc4be06267c91abe4d25e,4,4,1.0,4,1.0,34,1,35,8.75,34,1,35,8.75,6,1.5,6,1.5,4,1,2010-11-11 03:59:21,2010-11-11 03:59:47,0.00722222222222,2010-11-10 20:27:49,2010-11-10 22:52:55,2.41833333333
acbcdb02e5e608cfd1c9a93eba67c6a73d632870...c991bc587d84096bbf295366a4d00e815f4a8861,1,1,1.0,1,1.0,5,0,5,5.0,5,0,5,5.0,1,1.0,1,1.0,1,1,2010-11-10 22:37:40,2010-11-10 22:37:40,0.0,2010-11-10 22:33:30,2010-11-10 22:33:30,0.0
fa46e7bcbb735fab853bc4be06267c91abe4d25e...83a92c8e7fae3c24c8188e5556934b62836fc8bc,8,8,1.0,8,1.0,31,11,42,5.25,31,11,42,5.25,12,1.5,12,1.5,4,1,2010-11-12 21:54:51,2010-11-12 21:55:28,0.0102777777778,2010-11-11 09:43:45,2010-11-12 21:17:42,35.5658333333
fa46e7bcbb735fab853bc4be06267c91abe4d25e...e5184274b2bdf06258f0ac04be29f96032ff4e00,6,6,1.0,6,1.0,15,11,26,4.33333333333,15,11,26,4.33333333333,10,1.66666666667,10,1.66666666667,1,1,2010-11-12 20:58:29,2010-11-12 21:51:29,0.883333333333,2010-11-12 20:58:29,2010-11-12 21:51:29,0.883333333333
c991bc587d84096bbf295366a4d00e815f4a8861...e1f0a713c47dada10b2f818a6650198816badd7c,2,1,0.5,1,0.5,8,0,8,4.0,8,0,8,4.0,2,1.0,3,1.5,1,1,2011-04-05 03:14:03,2011-04-05 03:14:13,0.00277777777778,2011-04-05 03:14:03,2011-04-05 03:14:13,0.00277777777778
83a92c8e7fae3c24c8188e5556934b62836fc8bc...9c7b92ae3b7042a80197d2b9f45b7d9b9391ca17,4,3,0.75,3,0.75,7,3,10,2.5,8,4,12,3.0,3,0.75,4,1.0,4,1,2010-11-19 02:17:33,2010-11-19 02:56:40,0.651944444444,2010-11-12 21:51:29,2010-11-19 02:56:40,149.086388889
9c7b92ae3b7042a80197d2b9f45b7d9b9391ca17...9abdee41a619bac66c86a5f688d24df92d42ce90,18,16,0.888888888889,16,0.888888888889,95,5,100,5.55555555556,96,6,102,5.66666666667,18,1.0,20,1.11111111111,14,1,2010-11-23 01:34:26,2010-11-23 01:54:05,0.3275,2010-11-15 09:33:10,2010-11-22 21:52:25,180.320833333
