id,files,locs added,locs removed,locs total,hunks,commit time,author time
4b825dc642cb6eb9a060e54bf8d69288fbee4904...b7cc33a99b02fada900d0e4ba6b7bd38a142f064,3,16,0,16,3,2010-11-08 20:21:45,2010-11-08 20:21:45
b7cc33a99b02fada900d0e4ba6b7bd38a142f064...bd6cd2d41b1cd11cafbd49cd4ec0ef5d841aefc0,1,5,1,6,1,2010-11-08 20:43:25,2010-11-08 20:43:25
bd6cd2d41b1cd11cafbd49cd4ec0ef5d841aefc0...281c121d69baac362e3b6b3f3a8517f762c2689a,1,3,0,3,2,2010-11-08 20:46:40,2010-11-08 20:46:40
281c121d69baac362e3b6b3f3a8517f762c2689a...a3a9c380b9ca2c5e05d83c2272c7cbecfe84e34b,1,2,0,2,1,2010-11-08 20:49:25,2010-11-08 20:47:35
a3a9c380b9ca2c5e05d83c2272c7cbecfe84e34b...b3e1755b565461da1f05bb7d7d299a7c4f6b010c,1,2,0,2,1,2010-11-08 20:49:39,2010-11-08 20:47:19
b3e1755b565461da1f05bb7d7d299a7c4f6b010c...2ce6478f7bdbb46ffa1b6eab8366ea192b4e2ef8,1,2,0,2,1,2010-11-08 20:49:58,2010-11-08 20:48:48
2ce6478f7bdbb46ffa1b6eab8366ea192b4e2ef8...3ec3b811ed562b682875a0b84831d264ced5fc9a,1,1,0,1,1,2010-11-08 20:49:59,2010-11-08 20:48:58
3ec3b811ed562b682875a0b84831d264ced5fc9a...b66bfe4cf8668ab1e988ebda1d0c78a48791c42f,1,2,0,2,1,2010-11-08 20:52:48,2010-11-08 20:52:45
b66bfe4cf8668ab1e988ebda1d0c78a48791c42f...ab472108c5839addf16f9e62c7039d2f8233c571,1,11,0,11,1,2010-11-08 21:04:08,2010-11-08 20:53:41
ab472108c5839addf16f9e62c7039d2f8233c571...8495bcc605e51d5da46ace16aec8282b73e88590,1,15,0,15,1,2010-11-08 21:08:50,2010-11-08 21:02:20
8495bcc605e51d5da46ace16aec8282b73e88590...fbcdec436ec93643478239ce144a40a760b038d9,1,8,0,8,1,2010-11-08 22:38:10,2010-11-08 21:14:35
fbcdec436ec93643478239ce144a40a760b038d9...1bb483835a7a08944850197f0c7d441330871aac,1,12,0,12,1,2010-11-08 22:38:10,2010-11-08 21:26:12
1bb483835a7a08944850197f0c7d441330871aac...b8d698b462193dcdcf247cc47a50a646aebe2fc3,1,12,0,12,1,2010-11-08 22:38:28,2010-11-08 22:11:17
b8d698b462193dcdcf247cc47a50a646aebe2fc3...8152623b1e86385f5443407946246ad9d65a8a57,1,5,0,5,1,2010-11-08 22:41:10,2010-11-08 21:27:03
8152623b1e86385f5443407946246ad9d65a8a57...8db8a470ea3e12c244901b37f396a063deea35df,1,10,0,10,1,2010-11-08 22:41:11,2010-11-08 21:36:10
8db8a470ea3e12c244901b37f396a063deea35df...f3691245df3b978cb2159b64c9a95302822f3fe4,1,2,0,2,1,2010-11-08 22:41:19,2010-11-08 21:17:25
f3691245df3b978cb2159b64c9a95302822f3fe4...672ce09d68985752440d9dce6243e607fc5a3d82,1,1,0,1,1,2010-11-08 22:41:26,2010-11-08 21:11:38
672ce09d68985752440d9dce6243e607fc5a3d82...64e23e74a640b8a6940f844df3fe259a5cd8857e,1,76,0,76,1,2010-11-08 22:41:42,2010-11-08 21:25:43
64e23e74a640b8a6940f844df3fe259a5cd8857e...17558fdaa03e844c306a32822cf72f45ab8dd276,1,6,0,6,1,2010-11-08 22:41:56,2010-11-08 21:54:18
17558fdaa03e844c306a32822cf72f45ab8dd276...fb3975e18cba10be7ac3ffa8c8fae68fd7a2d04d,1,0,1,1,1,2010-11-08 22:41:57,2010-11-08 21:57:12
fb3975e18cba10be7ac3ffa8c8fae68fd7a2d04d...12bb040e2e3809717cbe5c0866e2e3001fadcf59,1,11,0,11,1,2010-11-08 22:42:05,2010-11-08 21:48:41
12bb040e2e3809717cbe5c0866e2e3001fadcf59...07b5d97c0a7cbc74b343d2f5824ff0427db90aa6,1,0,1,1,1,2010-11-08 22:42:06,2010-11-08 21:54:26
07b5d97c0a7cbc74b343d2f5824ff0427db90aa6...5c2a78f44fdb528f12a7afc36a8321f447acdd68,1,1,0,1,1,2010-11-08 22:42:21,2010-11-08 21:29:54
5c2a78f44fdb528f12a7afc36a8321f447acdd68...ea6e9227f8ad9c18468ed8969692d32d450c07f9,1,6,0,6,4,2010-11-08 22:44:09,2010-11-08 21:45:21
ea6e9227f8ad9c18468ed8969692d32d450c07f9...80e0020b8c55141efc0bdd9d35ffec7c36a1524b,1,1,0,1,1,2010-11-08 22:46:39,2010-11-08 20:50:43
80e0020b8c55141efc0bdd9d35ffec7c36a1524b...d03876d396ffae6a92fda5d5db6c67c93d54760a,1,3,0,3,1,2010-11-08 22:56:21,2010-11-08 22:56:21
d03876d396ffae6a92fda5d5db6c67c93d54760a...242c895c4bdf9710aeb4cea3ba04102926bba8db,1,0,0,0,0,2010-11-08 22:57:17,2010-11-08 22:57:17
242c895c4bdf9710aeb4cea3ba04102926bba8db...fe11ec96d28c076956e60d915353887a756eb17b,1,9,0,9,1,2010-11-08 22:58:16,2010-11-08 22:58:16
