id,files,locs added,locs removed,locs total,hunks,commit time,author time
4b825dc642cb6eb9a060e54bf8d69288fbee4904...0e49da1687bc8192ed210947da52c9e5c5f301bb,1,0,0,0,0,2014-01-04 16:08:52,2014-01-04 16:08:52
0e49da1687bc8192ed210947da52c9e5c5f301bb...0b806ee0fc9097fa7bda7ac0109191c9c5e0a1ac,3138,1294441,0,1294441,2499,2014-02-10 01:10:30,2014-02-10 01:10:30
0b806ee0fc9097fa7bda7ac0109191c9c5e0a1ac...9ccd3615fef9244cb7999bd7b591e654caa47d87,1,0,0,0,0,2014-02-10 02:11:44,2014-02-10 02:11:44
9ccd3615fef9244cb7999bd7b591e654caa47d87...ebc38f099d6faa73769512ab881d17302b2ef493,1,26,0,26,1,2014-02-10 02:12:50,2014-02-10 02:12:50
ebc38f099d6faa73769512ab881d17302b2ef493...7cb54f712a9ea4e982a8384c029cfae22fecaa42,1,1,1,2,1,2014-02-10 02:14:35,2014-02-10 02:14:35
7cb54f712a9ea4e982a8384c029cfae22fecaa42...56bf3d0a149d7245fa92ab42cf54e7ca4cd0fec9,1,4,0,4,1,2014-02-10 04:38:03,2014-02-10 04:38:03
56bf3d0a149d7245fa92ab42cf54e7ca4cd0fec9...555d3761dbb1047017909f939eae9979f887214e,1,1,1,2,1,2014-02-10 21:42:46,2014-02-10 21:42:46
56bf3d0a149d7245fa92ab42cf54e7ca4cd0fec9...1c7726820ec53b486e946bb42cac98a600c5bdb5,1,2,3,5,1,2014-02-10 16:12:23,2014-02-10 16:12:23
56bf3d0a149d7245fa92ab42cf54e7ca4cd0fec9...a29bfdf91251a41be7eadacae0e0f0c2f63568a7,2,29,1,30,9,2014-02-10 12:55:12,2014-02-10 12:55:12
a29bfdf91251a41be7eadacae0e0f0c2f63568a7...0366d6cb83e0da170a9647714edf1e6bce38c953,1,1,1,2,1,2014-02-10 13:00:26,2014-02-10 13:00:26
56bf3d0a149d7245fa92ab42cf54e7ca4cd0fec9...df43d71f197d055365b00a8fd937d403e2c3390c,1,1,1,2,1,2014-02-10 08:14:06,2014-02-10 08:14:06
1c7726820ec53b486e946bb42cac98a600c5bdb5...5a65a6cb2b9134fbdd6e39fe3106b7a90df0cb1b,1,3,142,145,29,2014-02-11 11:36:49,2014-02-11 11:36:49
1c7726820ec53b486e946bb42cac98a600c5bdb5...335d963031bc081166b3a73d9be4bd2bef2661fc,1,2,2,4,1,2014-02-11 03:27:50,2014-02-11 03:27:50
1c7726820ec53b486e946bb42cac98a600c5bdb5...abb985e755ccf858149294868eff8a9a9feca67e,95,5286,10051,15337,1870,2014-02-11 01:37:07,2014-02-11 01:37:07
4ff524b5c9227d0eeae2a8d9761add7465c03710...8b3fecb43dbe50a9952a27f7fbc221158e0a1f03,1,6,0,6,2,2014-02-13 21:15:18,2014-02-12 15:52:59
4ff524b5c9227d0eeae2a8d9761add7465c03710...6afd1fd2cbdc95d3df1cb2964ae50ab46d03e0f5,1,219,0,219,1,2014-02-13 15:41:54,2014-02-13 15:41:54
abb985e755ccf858149294868eff8a9a9feca67e...91c0aa8340606fd716a1c7ac9d259be11c52704a,1,1,1,2,1,2014-02-11 03:40:30,2014-02-11 03:40:30
c12a8e922ff724d7fe9909c16f9a1b5aec7f010b...96bc0c9f15862b09fd977533223b1b1403ec7e21,1,1,2,3,1,2014-02-14 19:51:55,2014-02-14 19:51:55
c12a8e922ff724d7fe9909c16f9a1b5aec7f010b...a17d76e60b8eb76613b654818c932ca1ef2806d2,5,9,7,16,6,2014-02-14 14:45:20,2014-02-14 14:45:20
c12a8e922ff724d7fe9909c16f9a1b5aec7f010b...bfafcb46641df7d984e1c4eb6b843964bb922cde,1,11,20,31,8,2014-02-14 10:31:41,2014-02-14 10:31:41
bfafcb46641df7d984e1c4eb6b843964bb922cde...db3e3255a8464794ebcd0b18492009402ef33dcd,1,5,5,10,4,2014-02-14 11:42:47,2014-02-14 11:42:47
1adc330b68b1f6ca18aac05daf88c7d4d757fd0a...58cda02a389759d18176216c06f375d364cefef1,54,1452,1120,2572,127,2014-02-13 21:03:28,2014-02-13 21:03:28
1adc330b68b1f6ca18aac05daf88c7d4d757fd0a...c85146e112df17e3064d372ae2a349143f14538d,1,27,0,27,1,2014-02-12 15:08:27,2014-02-12 15:08:27
c85146e112df17e3064d372ae2a349143f14538d...03fd40149f2b3e74cfb8c9e2cbc521f340fa932e,1,0,0,0,0,2014-02-12 15:21:47,2014-02-12 15:21:47
1adc330b68b1f6ca18aac05daf88c7d4d757fd0a...0bb71e723fe63ef95e6a68bd7faf186c6a7d0e32,1,2,2,4,2,2014-02-11 19:19:52,2014-02-11 19:19:52
1adc330b68b1f6ca18aac05daf88c7d4d757fd0a...5abc0bbcf604e516f70b19fa999c4c56c86507e9,1,4,3,7,4,2014-02-11 15:44:32,2014-02-11 15:44:32
b0870e487c6cc68bb0a2cef7174f3f5697667a2e...9afdb3e0ad5bfbdafe307212f5d4ebcc7c3ac852,30,107795,88117,195912,23745,2014-02-15 05:02:41,2014-02-15 05:01:39
9afdb3e0ad5bfbdafe307212f5d4ebcc7c3ac852...8c1731b67995add31361ae526b0e6af76346181e,26,92600,188275,280875,9418,2014-02-16 00:16:33,2014-02-16 00:16:33
9afdb3e0ad5bfbdafe307212f5d4ebcc7c3ac852...d38cf2e396d1950aea1cc2e4cc1f3dbe50d43ef2,2,31,9,40,10,2014-02-15 15:17:23,2014-02-15 11:54:21
