id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...e4e1507e810fcb81d187b1d33fc9225725d6c306,51,1,0.0196078431373,1,0.0196078431373,10,0,10,0.196078431373,332,322,654,12.8235294118,1,0.0196078431373,99,1.94117647059,8,5,2012-08-01 16:18:11,2014-09-21 04:52:20,18732.5691667,2012-08-01 16:17:16,2014-09-10 08:15:50,18471.9761111
4b825dc642cb6eb9a060e54bf8d69288fbee4904...7c44d3a9ba3fac7db734632fc399e9c673cacae1,1,12,12.0,12,12.0,709,0,709,709.0,709,0,709,709.0,8,8.0,8,8.0,1,1,2010-03-13 12:52:10,2010-03-13 12:52:10,0.0,2010-03-13 12:52:10,2010-03-13 12:52:10,0.0
4b825dc642cb6eb9a060e54bf8d69288fbee4904...48a9abba16e7b8157e1692947a8b771ef1091a9b,2,2,1.0,2,1.0,229,0,229,114.5,230,1,231,115.5,2,1.0,3,1.5,1,1,2010-03-06 17:53:38,2010-03-06 18:08:06,0.241111111111,2010-03-06 17:53:38,2010-03-06 18:08:06,0.241111111111
4b825dc642cb6eb9a060e54bf8d69288fbee4904...e3a0b9e11375dcbe65361c54c2e7c9e2a34d2d31,40,1,0.025,1,0.025,135,0,135,3.375,341,206,547,13.675,1,0.025,96,2.4,3,2,2010-03-06 15:14:26,2012-03-09 12:17:49,17613.0563889,2010-03-06 15:14:26,2012-03-09 12:17:49,17613.0563889
4b825dc642cb6eb9a060e54bf8d69288fbee4904...d8a944e83df880c6b217d3589f19a6daa88c5659,157,44,0.28025477707,69,0.43949044586,1950,0,1950,12.4203821656,3850,1900,5750,36.6242038217,44,0.28025477707,709,4.51592356688,1,1,2009-05-20 23:04:11,2009-07-27 15:20:48,1624.27694444,2009-05-20 23:04:11,2009-07-27 15:18:47,1624.24333333
e2131b7418a67172ec16d55c3b4f6efed994cac0...6305d2dbb88ee17edfe7b841b9267bf1bbba0f0a,47,13,0.276595744681,28,0.595744680851,12,705,717,15.2553191489,1284,1977,3261,69.3829787234,9,0.191489361702,180,3.82978723404,19,5,2010-03-13 18:20:18,2013-07-24 01:50:58,29479.5111111,2010-03-13 18:08:54,2013-07-24 01:50:58,29479.7011111
2577536a8a88c9807d771254c627a5d84d16194d...1cd636d368c66d1346adc1c38633c8f204c759f4,15829,3172,0.200391686146,3299,0.208414934614,74466,31075,105541,6.66757217765,142666,99275,241941,15.2846673827,9845,0.621959694232,38644,2.44134184092,2439,9,2012-03-09 12:25:55,2014-01-07 08:49:37,16052.395,2010-08-20 17:42:07,2014-01-07 08:27:10,29654.7508333
d8a944e83df880c6b217d3589f19a6daa88c5659...7081e7060ae0bae4aacffefc0de758a9f9519078,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2009-07-27 20:06:22,2009-07-27 20:06:22,0.0,2009-07-27 19:58:38,2009-07-27 19:58:38,0.0
d8a944e83df880c6b217d3589f19a6daa88c5659...c0e3dbac6bca8ad20ddaca1a66b21e2bf040ddf4,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,2,2.0,2,2.0,1,1,2009-07-27 15:35:04,2009-07-27 15:35:04,0.0,2009-07-27 15:35:04,2009-07-27 15:35:04,0.0
1cd636d368c66d1346adc1c38633c8f204c759f4...16e0b9192c7725cd2d12bb83dc821d43cb928de5,58,49,0.844827586207,51,0.879310344828,210,189,399,6.87931034483,226,205,431,7.43103448276,81,1.39655172414,88,1.51724137931,39,3,2014-01-07 10:53:47,2014-01-11 14:05:39,99.1977777778,2013-12-21 11:44:51,2014-01-11 13:53:31,506.144444444
1cd636d368c66d1346adc1c38633c8f204c759f4...5b9142314b9c03e936a21afa3064eeade5a73c33,1,1,1.0,1,1.0,21,0,21,21.0,21,0,21,21.0,2,2.0,2,2.0,1,1,2014-01-07 10:51:40,2014-01-07 10:51:40,0.0,2014-01-07 10:50:29,2014-01-07 10:50:29,0.0
