id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...e580422990d22676fd1acfd4429421b2980c1a38,15,20,1.33333333333,54,3.6,6877,0,6877,458.466666667,15312,8435,23747,1583.13333333,19,1.26666666667,108,7.2,3,3,2010-01-24 18:03:43,2010-04-05 22:07:51,1708.06888889,2010-01-24 18:03:43,2010-04-05 22:07:51,1708.06888889
e580422990d22676fd1acfd4429421b2980c1a38...1c403b368c334957df5ee754de358cb2f027e717,1,2,2.0,2,2.0,4,2,6,6.0,4,2,6,6.0,2,2.0,2,2.0,1,1,2010-04-08 18:19:56,2010-04-08 18:19:56,0.0,2010-04-08 18:19:56,2010-04-08 18:19:56,0.0
e580422990d22676fd1acfd4429421b2980c1a38...b2c0b30cd6a23585715a8160e3266b59b8eacb39,2,4,2.0,4,2.0,31,11,42,21.0,31,11,42,21.0,7,3.5,7,3.5,1,1,2010-04-06 03:05:42,2010-04-07 03:11:38,24.0988888889,2010-04-06 03:05:42,2010-04-07 03:11:38,24.0988888889
2788c15f2c9b4678b694e347c4d2710ff25e16df...a728304cbd8d592b416be183ef73324062413ec6,2,2,1.0,2,1.0,86,86,172,86.0,86,86,172,86.0,2,1.0,2,1.0,1,1,2010-04-15 15:52:12,2010-04-15 15:52:37,0.00694444444444,2010-04-15 15:52:12,2010-04-15 15:52:37,0.00694444444444
2788c15f2c9b4678b694e347c4d2710ff25e16df...cb98f0cb3d858f1967ef25dd38faff6d2aea362e,2,1,0.5,1,0.5,48,88,136,68.0,48,88,136,68.0,29,14.5,31,15.5,1,1,2010-04-12 03:21:07,2010-04-12 03:27:05,0.0994444444444,2010-04-12 03:21:07,2010-04-12 03:27:05,0.0994444444444
7efa6be1659aabe77b642aacdf646993ba746063...de6ff168fab1f0b081a01986bfbdec667599ce34,11,14,1.27272727273,14,1.27272727273,522,205,727,66.0909090909,695,378,1073,97.5454545455,48,4.36363636364,91,8.27272727273,4,3,2010-04-15 18:01:56,2010-05-14 10:07:31,688.093055556,2010-04-15 18:01:56,2010-05-14 10:07:31,688.093055556
de6ff168fab1f0b081a01986bfbdec667599ce34...d1cb8ba354b041db9bc1098d37eb9a5e276fc149,1,8,8.0,8,8.0,227,126,353,353.0,227,126,353,353.0,26,26.0,26,26.0,1,1,2010-05-20 05:42:44,2010-05-20 05:42:44,0.0,2010-05-20 05:42:44,2010-05-20 05:42:44,0.0
de6ff168fab1f0b081a01986bfbdec667599ce34...937fcf292d7d50e10b7d1fca02da5adc9a4e3d01,1,1,1.0,1,1.0,44,23,67,67.0,44,23,67,67.0,7,7.0,7,7.0,1,1,2010-05-20 05:18:52,2010-05-20 05:18:52,0.0,2010-05-20 05:18:52,2010-05-20 05:18:52,0.0
937fcf292d7d50e10b7d1fca02da5adc9a4e3d01...19881651f46517590035cc023a05260ee177275c,1,1,1.0,1,1.0,8,10,18,18.0,8,10,18,18.0,9,9.0,9,9.0,1,1,2010-05-20 05:42:09,2010-05-20 05:42:09,0.0,2010-05-20 05:42:09,2010-05-20 05:42:09,0.0
1df6aa03069fa8dc42ee64a24ddb0a28d2932b8a...4a710d6083965ff87df31665ed923579a0f7e70b,1,7,7.0,7,7.0,204,277,481,481.0,204,277,481,481.0,16,16.0,16,16.0,1,1,2010-05-20 06:01:08,2010-05-20 06:01:08,0.0,2010-05-20 06:01:08,2010-05-20 06:01:08,0.0
