id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...c46d39b0de9da0b66c7cbf18fcae08e363c417d7,2,5,2.5,5,2.5,400,0,400,200.0,400,0,400,200.0,5,2.5,5,2.5,1,1,2011-12-28 22:28:22,2011-12-28 22:32:42,0.0722222222222,2011-12-28 22:28:22,2011-12-28 22:32:42,0.0722222222222
c46d39b0de9da0b66c7cbf18fcae08e363c417d7...c1ff98590757c0bea73544f0a687043051ebfab6,3,1,0.333333333333,1,0.333333333333,25,0,25,8.33333333333,26,1,27,9.0,1,0.333333333333,3,1.0,1,1,2011-12-28 22:53:36,2011-12-28 23:14:03,0.340833333333,2011-12-28 22:53:36,2011-12-28 23:14:03,0.340833333333
c46d39b0de9da0b66c7cbf18fcae08e363c417d7...69ed89d2277d15372c40e628805bedb775dc9f4a,3,5,1.66666666667,5,1.66666666667,86,72,158,52.6666666667,96,82,178,59.3333333333,12,4.0,19,6.33333333333,1,1,2011-12-28 22:50:39,2011-12-29 17:49:46,18.9852777778,2011-12-28 22:50:39,2011-12-29 17:49:46,18.9852777778
69ed89d2277d15372c40e628805bedb775dc9f4a...0b3555291be18d354a85f5f345012ff0d87cf240,1,1,1.0,1,1.0,52,32,84,84.0,52,32,84,84.0,21,21.0,21,21.0,1,1,2011-12-29 19:04:08,2011-12-29 19:04:08,0.0,2011-12-29 19:04:08,2011-12-29 19:04:08,0.0
0b3555291be18d354a85f5f345012ff0d87cf240...336f6c7704031b7230e98d8ff1eac1041ba0e283,1,2,2.0,2,2.0,19,38,57,57.0,19,38,57,57.0,16,16.0,16,16.0,1,1,2011-12-29 19:25:46,2011-12-29 19:25:46,0.0,2011-12-29 19:25:46,2011-12-29 19:25:46,0.0
336f6c7704031b7230e98d8ff1eac1041ba0e283...118f92e33cfd0ee25883c9a173926393cc84b329,2,1,0.5,1,0.5,72,27,99,49.5,72,27,99,49.5,16,8.0,16,8.0,1,1,2011-12-29 22:34:26,2011-12-29 22:56:31,0.368055555556,2011-12-29 22:34:26,2011-12-29 22:56:17,0.364166666667
118f92e33cfd0ee25883c9a173926393cc84b329...3a67355863a0f7df1cc3512248cb50ff315169d0,1,2,2.0,2,2.0,15,4,19,19.0,15,4,19,19.0,5,5.0,5,5.0,1,1,2011-12-30 13:01:16,2011-12-30 13:01:16,0.0,2011-12-30 13:01:16,2011-12-30 13:01:16,0.0
3a67355863a0f7df1cc3512248cb50ff315169d0...da7a27d44ed4e0e179c6d31e9b36a4cc97b688fb,1,3,3.0,3,3.0,314,39,353,353.0,314,39,353,353.0,32,32.0,32,32.0,1,1,2011-12-31 08:48:13,2011-12-31 08:48:13,0.0,2011-12-31 08:48:13,2011-12-31 08:48:13,0.0
da7a27d44ed4e0e179c6d31e9b36a4cc97b688fb...ec069e17320ae2549061f8f2583b134e7e96f208,1,2,2.0,2,2.0,13,15,28,28.0,13,15,28,28.0,5,5.0,5,5.0,1,1,2011-12-31 09:23:34,2011-12-31 09:23:34,0.0,2011-12-31 09:23:34,2011-12-31 09:23:34,0.0
ec069e17320ae2549061f8f2583b134e7e96f208...5ca2c6f510ed152d7ad568994ea824ec184e144d,1,1,1.0,1,1.0,13,2,15,15.0,13,2,15,15.0,3,3.0,3,3.0,1,1,2011-12-31 09:53:01,2011-12-31 09:53:01,0.0,2011-12-31 09:53:01,2011-12-31 09:53:01,0.0
