id,files,locs added,locs removed,locs total,hunks,commit time,author time
4b825dc642cb6eb9a060e54bf8d69288fbee4904...0c7f9cc2b14f9a5c68f7847f13a7708934fe16e5,1,12,0,12,1,2011-12-28 22:28:22,2011-12-28 22:28:22
0c7f9cc2b14f9a5c68f7847f13a7708934fe16e5...c46d39b0de9da0b66c7cbf18fcae08e363c417d7,4,388,0,388,4,2011-12-28 22:32:42,2011-12-28 22:32:42
c46d39b0de9da0b66c7cbf18fcae08e363c417d7...4bb8e70c891f5dfbacf6ea151eff891bb6699dae,1,17,0,17,1,2011-12-28 22:53:36,2011-12-28 22:53:36
4bb8e70c891f5dfbacf6ea151eff891bb6699dae...97b54756d0d3c7d6f7302a36fa3b1d1918b669a7,1,7,1,8,1,2011-12-28 23:08:38,2011-12-28 23:08:38
97b54756d0d3c7d6f7302a36fa3b1d1918b669a7...c1ff98590757c0bea73544f0a687043051ebfab6,1,2,0,2,1,2011-12-28 23:14:03,2011-12-28 23:14:03
c46d39b0de9da0b66c7cbf18fcae08e363c417d7...b15963042e6f6edcba36b737ecce97d532a8f527,1,13,0,13,1,2011-12-28 22:50:39,2011-12-28 22:50:39
b15963042e6f6edcba36b737ecce97d532a8f527...24e4056e7fd1baa3777129039903bc743c686514,4,24,57,81,9,2011-12-29 14:36:02,2011-12-29 14:36:02
24e4056e7fd1baa3777129039903bc743c686514...69ed89d2277d15372c40e628805bedb775dc9f4a,1,59,25,84,9,2011-12-29 17:49:46,2011-12-29 17:49:46
69ed89d2277d15372c40e628805bedb775dc9f4a...0b3555291be18d354a85f5f345012ff0d87cf240,1,52,32,84,21,2011-12-29 19:04:08,2011-12-29 19:04:08
0b3555291be18d354a85f5f345012ff0d87cf240...336f6c7704031b7230e98d8ff1eac1041ba0e283,2,19,38,57,16,2011-12-29 19:25:46,2011-12-29 19:25:46
336f6c7704031b7230e98d8ff1eac1041ba0e283...273393942fa67ec5af722384205e0adaf5608c23,1,68,24,92,13,2011-12-29 22:34:26,2011-12-29 22:34:26
273393942fa67ec5af722384205e0adaf5608c23...118f92e33cfd0ee25883c9a173926393cc84b329,1,4,3,7,3,2011-12-29 22:56:31,2011-12-29 22:56:17
118f92e33cfd0ee25883c9a173926393cc84b329...3a67355863a0f7df1cc3512248cb50ff315169d0,2,15,4,19,5,2011-12-30 13:01:16,2011-12-30 13:01:16
3a67355863a0f7df1cc3512248cb50ff315169d0...da7a27d44ed4e0e179c6d31e9b36a4cc97b688fb,3,314,39,353,32,2011-12-31 08:48:13,2011-12-31 08:48:13
da7a27d44ed4e0e179c6d31e9b36a4cc97b688fb...ec069e17320ae2549061f8f2583b134e7e96f208,2,13,15,28,5,2011-12-31 09:23:34,2011-12-31 09:23:34
ec069e17320ae2549061f8f2583b134e7e96f208...5ca2c6f510ed152d7ad568994ea824ec184e144d,1,13,2,15,3,2011-12-31 09:53:01,2011-12-31 09:53:01
5ca2c6f510ed152d7ad568994ea824ec184e144d...32a5c398573cf18c30cb26f8d6e1a506a58b6772,4,54,2,56,7,2011-12-31 12:41:50,2011-12-31 12:41:50
32a5c398573cf18c30cb26f8d6e1a506a58b6772...7e7c2b3688de6cc01998c3665c59b663f7cad744,1,11,0,11,1,2011-12-31 12:58:19,2011-12-31 12:58:19
7e7c2b3688de6cc01998c3665c59b663f7cad744...59ef63227f90ecefe84697090832516ff55d3f71,1,1,1,2,1,2011-12-31 12:59:34,2011-12-31 12:59:34
f919fe9b084ef7fdfe45b84e150fe67cfa4329c3...3f04c5e6c7d480ddbb709bd287ff9a0607b6aca1,1,2,2,4,1,2011-12-31 21:12:09,2011-12-31 21:12:09
53862c9f9a5d6b1ce37626e7e1cda1bcb71fc781...0ece4dbfb3bf08d90b1e3f6f9b0b0d32f3d18be0,1,3,1,4,1,2012-01-01 09:52:26,2012-01-01 09:52:26
0ece4dbfb3bf08d90b1e3f6f9b0b0d32f3d18be0...5fd27b3e21969727bdac425fd7c9e6c4136ebf77,1,26,0,26,2,2012-01-01 10:04:57,2012-01-01 10:04:57
5fd27b3e21969727bdac425fd7c9e6c4136ebf77...848f50ffa84525b81599af4bf442fc1e00e184de,1,4,1,5,4,2012-01-02 17:57:14,2012-01-02 17:57:14
5fd27b3e21969727bdac425fd7c9e6c4136ebf77...dc12069b40fc382acf127a35b9e1d9162fc527af,1,9,0,9,1,2012-01-02 08:04:57,2012-01-02 08:04:57
dc12069b40fc382acf127a35b9e1d9162fc527af...e4f31af4a6cfcbedf8738ce3c108162771362de6,1,4,0,4,1,2012-01-02 08:18:43,2012-01-02 08:18:43
e4f31af4a6cfcbedf8738ce3c108162771362de6...d6d78341b9819b6c1d13b40de4f031aeeecf442b,1,8,0,8,1,2012-01-02 10:08:57,2012-01-02 10:08:57
d6d78341b9819b6c1d13b40de4f031aeeecf442b...10905d882414c9876ce363a42364bd332851cb92,1,1,1,2,1,2012-01-02 10:22:19,2012-01-02 10:22:19
19029d2c1df7198906e806e12cd42dd63459845b...34568182ef64f9bdc1025f25835fbaae18f194c6,1,1,1,2,1,2012-01-02 20:37:20,2012-01-02 20:37:20
34568182ef64f9bdc1025f25835fbaae18f194c6...821cf549fc263905b63e21595fd6e86a39a6326c,2,55,2,57,5,2012-01-02 21:08:50,2012-01-02 21:08:50
821cf549fc263905b63e21595fd6e86a39a6326c...755edaf60c5908cc828fdd658b95688bc0b6f5e4,1,2,2,4,2,2012-01-02 21:39:09,2012-01-02 21:39:09
