id,files,locs added,locs removed,locs total,hunks,commit time,author time
4b825dc642cb6eb9a060e54bf8d69288fbee4904...960d97449b67ae654f51dcdb98bc2a47fd2082db,1,0,0,0,0,2010-01-24 18:03:43,2010-01-24 18:03:43
960d97449b67ae654f51dcdb98bc2a47fd2082db...60dab21756d567a3511c45ad6b9e961bbc53754d,52,14180,0,14180,50,2010-01-24 18:04:13,2010-01-24 18:04:13
60dab21756d567a3511c45ad6b9e961bbc53754d...948653ba25b0d150235f2a6988678d340ee6b37d,34,0,7291,7291,33,2010-01-24 18:07:26,2010-01-24 18:07:26
948653ba25b0d150235f2a6988678d340ee6b37d...fb1a4844f7c1d91c60f17b8486e9cb62ab58d37e,1,2,2,4,2,2010-03-20 18:42:36,2010-03-20 18:42:36
fb1a4844f7c1d91c60f17b8486e9cb62ab58d37e...eb04e1a3af44696de2059500e916f416a973db0c,1,2,70,72,3,2010-03-20 18:46:32,2010-03-20 18:46:32
eb04e1a3af44696de2059500e916f416a973db0c...ecd87f7cf58ebeae8bb7590bda5585215ef6fa78,1,15,0,15,1,2010-03-20 23:29:39,2010-03-20 23:29:39
ecd87f7cf58ebeae8bb7590bda5585215ef6fa78...ebe0d943297004e662064ee1366a9a0e7bb65547,1,1,0,1,1,2010-03-20 23:31:48,2010-03-20 23:31:48
ebe0d943297004e662064ee1366a9a0e7bb65547...a71114b54660b674e70987e7ffeac118e72a9f64,1,0,18,18,1,2010-03-20 23:32:10,2010-03-20 23:32:10
a71114b54660b674e70987e7ffeac118e72a9f64...7de4696e3141c2f1d0352b3a19ef5c3f0d564d11,1,17,0,17,1,2010-03-20 23:53:40,2010-03-20 23:53:40
7de4696e3141c2f1d0352b3a19ef5c3f0d564d11...5c8b45e66a0604a3347022584c8d47ace6be23a9,1,0,1,1,1,2010-03-21 01:45:20,2010-03-21 01:45:20
5c8b45e66a0604a3347022584c8d47ace6be23a9...770ca9c8a60415e0b034b5bce15a71c8aaf5a422,1,1,1,2,1,2010-03-24 22:11:47,2010-03-24 22:11:47
770ca9c8a60415e0b034b5bce15a71c8aaf5a422...28512638f83c84909a033085c15092e14c28839a,2,16,1,17,4,2010-03-30 04:49:34,2010-03-30 04:49:34
