id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...7e7c2b3688de6cc01998c3665c59b663f7cad744,15,4,0.266666666667,7,0.466666666667,818,0,818,54.5333333333,1059,241,1300,86.6666666667,4,0.266666666667,130,8.66666666667,1,1,2011-12-28 22:28:22,2011-12-31 12:58:19,62.4991666667,2011-12-28 22:28:22,2011-12-31 12:58:19,62.4991666667
7e7c2b3688de6cc01998c3665c59b663f7cad744...59ef63227f90ecefe84697090832516ff55d3f71,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2011-12-31 12:59:34,2011-12-31 12:59:34,0.0,2011-12-31 12:59:34,2011-12-31 12:59:34,0.0
f919fe9b084ef7fdfe45b84e150fe67cfa4329c3...3f04c5e6c7d480ddbb709bd287ff9a0607b6aca1,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,1,1.0,1,1.0,1,1,2011-12-31 21:12:09,2011-12-31 21:12:09,0.0,2011-12-31 21:12:09,2011-12-31 21:12:09,0.0
53862c9f9a5d6b1ce37626e7e1cda1bcb71fc781...5fd27b3e21969727bdac425fd7c9e6c4136ebf77,2,2,1.0,2,1.0,29,1,30,15.0,29,1,30,15.0,3,1.5,3,1.5,1,1,2012-01-01 09:52:26,2012-01-01 10:04:57,0.208611111111,2012-01-01 09:52:26,2012-01-01 10:04:57,0.208611111111
5fd27b3e21969727bdac425fd7c9e6c4136ebf77...848f50ffa84525b81599af4bf442fc1e00e184de,1,1,1.0,1,1.0,4,1,5,5.0,4,1,5,5.0,4,4.0,4,4.0,1,1,2012-01-02 17:57:14,2012-01-02 17:57:14,0.0,2012-01-02 17:57:14,2012-01-02 17:57:14,0.0
5fd27b3e21969727bdac425fd7c9e6c4136ebf77...10905d882414c9876ce363a42364bd332851cb92,4,2,0.5,2,0.5,21,0,21,5.25,22,1,23,5.75,3,0.75,4,1.0,1,1,2012-01-02 08:04:57,2012-01-02 10:22:19,2.28944444444,2012-01-02 08:04:57,2012-01-02 10:22:19,2.28944444444
19029d2c1df7198906e806e12cd42dd63459845b...b83b7e6432b1f70e5f285be68a14b466d4f4e22d,17,4,0.235294117647,5,0.294117647059,192,41,233,13.7058823529,203,52,255,15.0,40,2.35294117647,51,3.0,1,1,2012-01-02 20:37:20,2012-01-08 20:30:08,143.88,2012-01-02 20:37:20,2012-01-08 20:30:08,143.88
b83b7e6432b1f70e5f285be68a14b466d4f4e22d...43b9137dfb5939c2a92bfcd7f094ea7b7c089317,1,1,1.0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,1.0,1,1.0,1,1,2012-01-11 11:31:39,2012-01-11 11:31:39,0.0,2012-01-11 11:31:39,2012-01-11 11:31:39,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...bf8a540e757b7f9d0c839e6d9315964c20fc449f,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,1,1.0,1,1.0,1,1,2012-01-12 16:20:25,2012-01-12 16:20:25,0.0,2012-01-12 16:20:25,2012-01-12 16:20:25,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...a654a873ea56aa83a327048f3223eaa807631652,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-12 11:22:18,2012-01-12 11:22:18,0.0,2012-01-12 11:22:18,2012-01-12 11:22:18,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...11e5ddc77a7927305f20016cf507791050837aca,1,1,1.0,1,1.0,6,0,6,6.0,6,0,6,6.0,1,1.0,1,1.0,1,1,2012-01-12 11:08:21,2012-01-12 11:08:21,0.0,2012-01-12 11:08:21,2012-01-12 11:08:21,0.0
185ba4ea767102669a8d92be637510832c49c33c...345423cbc3cc762bf2c17f462b831248d17c0265,7,2,0.285714285714,2,0.285714285714,39,23,62,8.85714285714,41,25,66,9.42857142857,18,2.57142857143,20,2.85714285714,1,1,2012-01-12 19:45:54,2012-01-13 08:41:10,12.9211111111,2012-01-12 19:45:54,2012-01-13 08:41:10,12.9211111111
345423cbc3cc762bf2c17f462b831248d17c0265...85adb2df0842f32e5c4d89fba402318f554e94c3,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-16 04:15:03,2012-01-16 04:15:03,0.0,2012-01-16 04:15:03,2012-01-16 04:15:03,0.0
345423cbc3cc762bf2c17f462b831248d17c0265...b8808e6ccfeb1b84e79bdf6011a20f953ae20d8b,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-13 20:11:09,2012-01-13 20:11:09,0.0,2012-01-13 20:11:09,2012-01-13 20:11:09,0.0
714d72f20f62b96ab6485da2a1dd52c19383636e...3b61cd86214005c017beb11fbc6818d3a7dcdfc7,2,1,0.5,1,0.5,4,2,6,3.0,4,2,6,3.0,3,1.5,3,1.5,1,1,2012-01-16 10:53:51,2012-01-16 20:53:07,9.98777777778,2012-01-16 10:53:51,2012-01-16 20:53:07,9.98777777778
3b61cd86214005c017beb11fbc6818d3a7dcdfc7...b649b51f917694db8813bfa0fb8ff7ea9979edbe,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-17 19:31:54,2012-01-17 19:31:54,0.0,2012-01-17 19:31:54,2012-01-17 19:31:54,0.0
6ada2acb1e3479afe08053b2f3688b129d23c078...5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a,5,3,0.6,3,0.6,172,16,188,37.6,184,28,212,42.4,19,3.8,25,5.0,1,1,2012-01-17 21:08:45,2012-01-18 11:26:16,14.2919444444,2012-01-17 21:08:45,2012-01-18 11:26:16,14.2919444444
5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a...bb0113e5be76fabde364363e2e6a72784b641dfe,1,1,1.0,1,1.0,8,1,9,9.0,8,1,9,9.0,5,5.0,5,5.0,1,1,2012-01-20 15:06:23,2012-01-20 15:06:23,0.0,2012-01-20 15:06:23,2012-01-20 15:06:23,0.0
5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a...4818cf4164bcde142b2a7de79c97a6c01b63373f,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2012-01-18 23:11:18,2012-01-18 23:11:18,0.0,2012-01-18 23:11:18,2012-01-18 23:11:18,0.0
b34f71c931fadb60b7714299e4de56308560bc77...e96893311ed2ef247175f96110dd880779da403a,2,1,0.5,1,0.5,4,2,6,3.0,4,2,6,3.0,2,1.0,2,1.0,1,1,2012-01-21 18:16:53,2012-01-24 07:34:16,61.2897222222,2012-01-21 18:16:53,2012-01-24 07:34:16,61.2897222222
e96893311ed2ef247175f96110dd880779da403a...d8f70bdb15c4c685fd5cdfb28336b07ad7f69f98,1,1,1.0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,1.0,1,1.0,1,1,2012-01-24 12:36:07,2012-01-24 12:36:07,0.0,2012-01-24 12:36:07,2012-01-24 12:36:07,0.0
2e8389fdde982ebc514fbbdf029ae8dafc3d85a0...a6970d15fdaa56ad0335bc923bdfe803cbd88e25,1,2,2.0,2,2.0,106,0,106,106.0,106,0,106,106.0,24,24.0,24,24.0,1,1,2012-01-24 23:16:11,2012-01-24 23:16:11,0.0,2012-01-24 22:37:45,2012-01-24 22:37:45,0.0
a6970d15fdaa56ad0335bc923bdfe803cbd88e25...26034fc27776a1bc2b9c9bcbfbd11311f335a95c,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-27 19:24:24,2012-01-27 19:24:24,0.0,2012-01-27 19:24:24,2012-01-27 19:24:24,0.0
a6970d15fdaa56ad0335bc923bdfe803cbd88e25...29e9e638070fa45c71959afc903228069b4e40a3,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2012-01-25 15:35:03,2012-01-25 15:35:03,0.0,2012-01-25 15:35:03,2012-01-25 15:35:03,0.0
1b6e668ab4e98b3782318afb3af977b82885787d...7d2d581f9b4d6db94cb729dc54f92a4c30e5945a,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,2,2.0,2,2.0,1,1,2012-01-28 13:39:55,2012-01-28 13:39:55,0.0,2012-01-28 13:39:55,2012-01-28 13:39:55,0.0
3fef9f9b6f429af46f49ffc07df9825f186dfdbe...3d9360cf846ca9a117c3cfa7302363809b5e5cf4,1,1,1.0,1,1.0,4,4,8,8.0,4,4,8,8.0,3,3.0,3,3.0,1,1,2012-01-30 19:02:53,2012-01-30 19:02:53,0.0,2012-01-30 19:02:53,2012-01-30 19:02:53,0.0
3d9360cf846ca9a117c3cfa7302363809b5e5cf4...4e8065277d84610afc1fc7dd45d8885b74a73a5f,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-02-01 13:58:26,2012-02-01 13:58:26,0.0,2012-02-01 13:58:26,2012-02-01 13:58:26,0.0
3d9360cf846ca9a117c3cfa7302363809b5e5cf4...65fcaeed0a70a761405a63663ba3692c57988ec0,1,1,1.0,1,1.0,5,0,5,5.0,5,0,5,5.0,1,1.0,1,1.0,1,1,2012-01-30 19:05:56,2012-01-30 19:05:56,0.0,2012-01-30 19:05:56,2012-01-30 19:05:56,0.0
