id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...e03aee1aa6d26107328052998bdf9f54fa08d9ef,1880,97,0.0515957446809,263,0.139893617021,29483,0,29483,15.6824468085,128720,99237,227957,121.253723404,95,0.0505319148936,13414,7.13510638298,24,20,2006-03-22 03:33:07,2009-11-09 11:39:29,31880.1061111,2006-03-22 03:33:07,2009-11-09 11:39:29,31880.1061111
e03aee1aa6d26107328052998bdf9f54fa08d9ef...d251809912c06478fd0c7711736ef6ea3572723e,1,1,1.0,1,1.0,22,6,28,28.0,22,6,28,28.0,5,5.0,5,5.0,1,1,2009-11-09 11:59:54,2009-11-09 11:59:54,0.0,2009-11-09 11:59:54,2009-11-09 11:59:54,0.0
e03aee1aa6d26107328052998bdf9f54fa08d9ef...9a69b2cf08f11d58ba5e53e540b96b8f4ce5072d,1,1,1.0,1,1.0,3,4,7,7.0,3,4,7,7.0,4,4.0,4,4.0,1,1,2009-11-09 11:41:43,2009-11-09 11:41:43,0.0,2009-11-06 11:59:45,2009-11-06 11:59:45,0.0
4fd730dca797f495e7473cbfc97a7decf40ff24a...1879e8cbeef6984495ee84f482900defda0dc3f4,38,26,0.684210526316,26,0.684210526316,777,677,1454,38.2631578947,792,692,1484,39.0526315789,78,2.05263157895,92,2.42105263158,10,1,2009-11-09 12:30:33,2009-11-27 16:23:19,435.879444444,2009-11-09 12:30:33,2009-11-27 16:23:19,435.879444444
1879e8cbeef6984495ee84f482900defda0dc3f4...e00be67f32f0f82421cefd9c7a715360f9db1f8b,1,1,1.0,1,1.0,19,0,19,19.0,19,0,19,19.0,1,1.0,1,1.0,1,1,2009-11-29 21:21:54,2009-11-29 21:21:54,0.0,2009-11-29 21:21:54,2009-11-29 21:21:54,0.0
1879e8cbeef6984495ee84f482900defda0dc3f4...255068da33e3d131b3a641c041fb8cecb1543fa4,3,8,2.66666666667,8,2.66666666667,152,124,276,92.0,154,126,280,93.3333333333,118,39.3333333333,120,40.0,1,1,2009-11-27 20:09:14,2009-11-27 20:09:14,0.0,2009-11-27 19:28:42,2009-11-27 19:31:28,0.0461111111111
2b7c38f80cf171ce830cd198ed2916a2c258a3cb...84857abefce7b5ec4f4018caf98d7d61e952789f,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2009-11-30 18:00:06,2009-11-30 18:00:06,0.0,2009-11-30 18:00:06,2009-11-30 18:00:06,0.0
84857abefce7b5ec4f4018caf98d7d61e952789f...90ba57ce6d84653b4533569d88d4af6b9a50426b,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2009-11-30 18:42:19,2009-11-30 18:42:19,0.0,2009-11-30 18:42:19,2009-11-30 18:42:19,0.0
84857abefce7b5ec4f4018caf98d7d61e952789f...17955cacf4e8c618ca5c2b09b0d2f43df353f683,1,2,2.0,2,2.0,12,1,13,13.0,12,1,13,13.0,2,2.0,2,2.0,1,1,2009-11-30 18:22:18,2009-11-30 18:22:18,0.0,2009-11-30 18:21:56,2009-11-30 18:21:56,0.0
df6e02a4a7d8da037ebdb812e6b92a067223a6ea...3c89e38fc26ef40797b83ba8ef4f8329b08afe75,51,27,0.529411764706,27,0.529411764706,973,296,1269,24.8823529412,1025,348,1373,26.9215686275,135,2.64705882353,179,3.50980392157,6,2,2009-11-30 18:46:14,2009-12-06 02:06:14,127.333333333,2009-11-30 18:46:14,2009-12-06 02:06:14,127.333333333
